BT25-001	PASS	1	current
BT25-002	PASS	1	current
BT25-003	PASS	1	current
BT25-004	PASS	4	current
BT25-005	PASS	1	current
BT25-006	PASS	1	current
BT25-007	PASS	1	current
BT25-008	PASS	2	current
BT25-009	PASS	2	current
BT25-010	PASS	1	current
BT25-011	PASS	2	current
BT25-012	PASS	2	current
BT25-013	PASS	3	current
BT25-014	PASS	2	current
BT25-015	PASS	2	current
BT25-016	PASS	3	current
BT25-017	PASS	3	current
BT25-018	PASS	3	current
BT25-019	PASS	3	current
BT25-020	PASS	2	current
BT25-021	PASS	2	current
BT25-022	PASS	2	current
BT25-023	PASS	2	current
BT25-024	PASS	4	current
BT25-025	PASS	2	current
BT25-026	PASS	4	current
BT25-027	PASS	2	current
BT25-028	PASS	3	current
BT25-029	PASS	2	current
BT25-030	PASS	2	current
BT25-031	PASS	2	current
BT25-032	PASS	2	current
BT25-033	PASS	2	current
BT25-034	PASS	2	current
BT25-035	PASS	2	current
BT25-036	PASS	2	current
BT25-037	PASS	1	current
BT25-038	PASS	2	current
BT25-039	PASS	7	current
BT25-040	PASS	2	current
BT25-041	PASS	3	current
BT25-042	PASS	2	current
BT25-043	PASS	2	current
BT25-044	PASS	3	current
BT25-045	PASS	2	current
BT25-046	PASS	1	current
BT25-047	PASS	1	current
BT25-048	PASS	4	current
BT25-049	PASS	3	current
BT25-050	PASS	1	current
BT25-051	PASS	1	current
BT25-052	PASS	2	current
BT25-053	PASS	2	current
BT25-054	PASS	2	current
BT25-055	PASS	1	current
BT25-056	PASS	4	current
BT25-057	PASS	5	current
BT25-058	PASS	8	current
BT25-059	PASS	5	current
BT25-060	PASS	8	current
BT25-061	PASS	5	current
BT25-062	PASS	4	current
BT25-063	PASS	4	current
BT25-064	PASS	4	current
BT25-065	PASS	6	current
BT25-066	PASS	6	current
BT25-067	PASS	4	current
BT25-068	PASS	4	current
BT25-069	PASS	6	current
BT25-070	PASS	6	current
BT25-071	PASS	5	current
BT25-072	PASS	8	current
BT25-073	PASS	8	current
BT25-074	PASS	4	current
BT25-075	PASS	3	current
BT25-076	PASS	9	current
BT25-077	PASS	8	current
BT25-078	PASS	6	current
BT25-079	PASS	4	current
BT25-080	PASS	8	current
BT25-081	PASS	5	current
BT25-082	PASS	5	current
BT25-083	PASS	7	current
BT25-084	HISTORICAL_PASS	15	origin/audit/bt25-complete
BT25-085	PASS	5	current
BT25-086	HISTORICAL_PASS	5	origin/audit/bt25-complete
BT25-087	HISTORICAL_PASS	5	origin/audit/bt25-complete
BT25-088	HISTORICAL_PASS	9	origin/audit/bt25-complete
BT25-089	HISTORICAL_PASS	9	origin/audit/bt25-complete
BT25-090	HISTORICAL_PASS	9	origin/audit/bt25-complete
BT25-091	HISTORICAL_PASS	7	origin/audit/bt25-complete
BT25-092	PASS	5	current
BT25-093	HISTORICAL_PASS	6	origin/audit/bt25-complete
BT25-094	HISTORICAL_PASS	6	origin/audit/bt25-complete
BT25-095	HISTORICAL_PASS	6	origin/audit/bt25-complete
BT25-096	HISTORICAL_PASS	4	origin/audit/bt25-complete
BT25-097	HISTORICAL_PASS	4	origin/audit/bt25-complete
BT25-098	HISTORICAL_PASS	5	origin/audit/bt25-complete
BT25-099	HISTORICAL_PASS	6	origin/audit/bt25-complete
BT25-100	HISTORICAL_PASS	3	origin/audit/bt25-complete
BT25-101	HISTORICAL_PASS	7	origin/audit/bt25-complete plus 2 current targeted passes
BT25-102	HISTORICAL_PASS	4	origin/audit/bt25-complete
BT25-103	HISTORICAL_PASS	7	origin/audit/bt25-complete
BT25-104	HISTORICAL_PASS	8	origin/audit/bt25-complete
